Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	kmer_content
ERR1045534_1	ERR1045534_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2184952.0	0.0	15-125	64.0	94.87225476813933	115.68569286647944	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045534_2	ERR1045534_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2184952.0	0.0	15-125	64.0	94.96466897324856	113.75091397888832	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045535_1	ERR1045535_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2361779.0	0.0	15-125	64.0	94.28317426507893	116.15653962542643	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045535_2	ERR1045535_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2361779.0	0.0	15-125	64.0	94.489526804766	113.99729060170321	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045536_1	ERR1045536_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2436966.0	0.0	15-125	64.0	94.40132397012177	114.07956902147998	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045536_2	ERR1045536_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2436966.0	0.0	15-125	64.0	94.7895944907373	111.55685430161931	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045537_1	ERR1045537_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2470775.0	0.0	15-125	64.0	94.35721725470407	115.37862371118374	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045537_2	ERR1045537_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2470775.0	0.0	15-125	64.0	94.65512095978896	113.15413463386994	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045538_1	ERR1045538_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2592276.0	0.0	15-125	64.0	93.76893993156253	116.98464013862721	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045538_2	ERR1045538_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2592276.0	0.0	15-125	64.0	94.2063970658986	113.53067690323098	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045539_1	ERR1045539_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2392837.0	0.0	15-125	64.0	94.36233505274296	116.33828087746888	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045539_2	ERR1045539_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2392837.0	0.0	15-125	64.0	94.53117441894466	113.37328618706582	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045540_1	ERR1045540_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2522138.0	0.0	15-125	64.0	94.30626528068802	115.64790903590526	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045540_2	ERR1045540_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2522138.0	0.0	15-125	64.0	94.50175241082026	113.16331303045274	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045541_1	ERR1045541_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2579676.0	0.0	15-125	64.0	94.14127000637495	115.84574458187772	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
