BioSample	collection_year
SAMEA1317694	2008
SAMEA1317695	2010
SAMEA1317696	2010
SAMEA1317703	2009
SAMEA1317716	2009
SAMEA1464841	2007
SAMEA1464868	2009
SAMEA1464873	2010
SAMEA1464875	2008
SAMEA1464876	2010
SAMEA1464885	2010
SAMEA1464888	2009
SAMEA1464890	2010
SAMEA1464893	2008
SAMEA1464898	2010
SAMEA1464901	2007
SAMEA1464902	2009
SAMEA1464905	2008
SAMEA1464910	2009
SAMEA1464911	2008
SAMEA1464919	2009
SAMEA1464922	2007
SAMEA1464924	2007
SAMEA1464925	2009
SAMEA1464939	2008
SAMEA1464942	2007
SAMEA1464948	2008
SAMEA1464951	2007
SAMEA1464960	2009
SAMEA1464964	2010
SAMEA1464969	2007
SAMEA1464971	2008
SAMEA1464973	2007
SAMEA1963837	2011
SAMEA1964489	2012
SAMEA1964620	2011
SAMEA1965051	2004
SAMEA1965061	2011
SAMEA1965955	2011
SAMEA1967286	2001
SAMEA1968765	2012
SAMEA1969055	2003
SAMEA1969436	2008
SAMEA1971773	2008
SAMEA1973643	2011
SAMEA2068667	2003
SAMEA2068669	2004
SAMEA2068670	2004
SAMEA2068678	2004
SAMEA2068679	2002
SAMEA2068681	2005
SAMEA2068683	2005
SAMEA2068740	2011
SAMEA2068741	2012
SAMEA2068795	2004
SAMEA2068799	2006
SAMEA2068801	2006
SAMEA2068807	2007
SAMEA2068808	2007
SAMEA2068812	2007
SAMEA2068813	2005
SAMEA2068815	2008
SAMEA2068817	2008
SAMEA2068953	2008
SAMEA2068955	2009
SAMEA2068960	2009
SAMEA2068961	2009
SAMEA2068962	2009
SAMEA2068963	2009
SAMEA2068964	2009
SAMEA2068965	2010
SAMEA2068969	2010
SAMEA2068970	2010
SAMEA2068972	2010
SAMEA2068974	2010
SAMEA2068975	2008
SAMEA2068976	2010
SAMEA2069132	2011
SAMEA2069133	2011
SAMEA2069134	2011
SAMEA2069136	2011
SAMEA2069139	2011
SAMEA2069140	2011
SAMEA2069141	2011
SAMEA2069145	2012
SAMEA2069154	2012
SAMEA2069315	2012
SAMEA2069316	2012
SAMEA2069317	2012
SAMEA2069318	2013
SAMEA2070157	2011
SAMEA2070158	2012
SAMEA2070161	2011
SAMEA2070162	2011
SAMEA2070163	2011
SAMEA2070164	2011
SAMEA2070166	2010
SAMEA2070167	2011
SAMEA2070285	2011
SAMEA2070288	2011
SAMEA2070289	2011
SAMEA2070290	2011
SAMEA2070291	2010
SAMEA2070292	2009
SAMEA2070293	2010
SAMEA2070297	2012
SAMEA2070298	2011
SAMEA2070299	2011
SAMEA2070301	2012
SAMEA2070306	2012
SAMEA2070308	2012
SAMEA2070415	2012
SAMEA2070416	2001
SAMEA2070422	2001
SAMEA2070425	2011
SAMEA2070426	2002
SAMEA2070427	2002
SAMEA2070433	2003
SAMEA2070535	2003
SAMEA2070536	2003
SAMEA2070537	2001
SAMEA2070542	2004
SAMEA2070543	2004
SAMEA2070545	2004
SAMEA2070546	2004
SAMEA2070547	2004
SAMEA2070548	2002
SAMEA2070549	2004
SAMEA2070555	2005
SAMEA2070556	2005
SAMEA2070591	2011
SAMEA2070592	2011
SAMEA2070593	2011
SAMEA2070594	2012
SAMEA2070595	2011
SAMEA2070596	2011
SAMEA2070598	2011
SAMEA2070599	2011
SAMEA2070600	2011
SAMEA2070654	2005
SAMEA2070657	2006
SAMEA2070658	2006
SAMEA2070659	2006
SAMEA2070660	2006
SAMEA2070663	2006
SAMEA2070664	2007
SAMEA2070666	2007
SAMEA2070667	2007
SAMEA2070669	2007
SAMEA2070670	2007
SAMEA2070672	2008
SAMEA2070673	2008
SAMEA2070676	2008
SAMEA2070696	2011
SAMEA2070697	2011
SAMEA2070700	2011
SAMEA2070701	2011
SAMEA2070702	2009
SAMEA2070707	2011
SAMEA2070710	2011
SAMEA2070713	2012
SAMEA2070714	2012
SAMEA2070717	2012
SAMEA2070718	2012
SAMEA2070770	2008
SAMEA2070773	2009
SAMEA2070775	2009
SAMEA2070776	2008
SAMEA2070778	2009
SAMEA2070781	2010
SAMEA2070784	2010
SAMEA2070785	2009
SAMEA2070786	2010
SAMEA2070787	2008
SAMEA2070788	2010
SAMEA2070789	2010
SAMEA2070791	2010
SAMEA2070792	2011
SAMEA2070793	2011
SAMEA2070818	2012
SAMEA2070823	2001
SAMEA2070827	2001
SAMEA2070828	2001
SAMEA2070829	2001
SAMEA2070834	2003
SAMEA2070837	2003
SAMEA2070839	2003
SAMEA2070891	2011
SAMEA2070892	2011
SAMEA2070894	2011
SAMEA2070896	2011
SAMEA2070899	2011
SAMEA2070901	2011
SAMEA2070904	2011
SAMEA2070910	2012
SAMEA2070911	2012
SAMEA2070912	2012
SAMEA2070914	2012
SAMEA2071135	2011
SAMEA2071136	2011
SAMEA2071181	2012
SAMEA2071182	2011
SAMEA2071183	2010
SAMEA2071184	2011
SAMEA2071187	2011
SAMEA2071188	2011
SAMEA2071189	2011
SAMEA2071190	2010
SAMEA2071192	2009
SAMEA2071194	2011
SAMEA2071196	2011
SAMEA2071197	2008
SAMEA2071199	2012
SAMEA2071202	2011
SAMEA2071231	2011
SAMEA2071233	2012
SAMEA2071234	2012
SAMEA2071235	2012
SAMEA2071239	2012
SAMEA2071245	2012
SAMEA2071247	2001
SAMEA2071250	2001
