index,BioSample,collection_year,collection_month,collection_day,BioProject,days_from_first_isolate,snp_dist_from_first_isolate,patient_id
1193,SAMEA2275848,2008,1.0,1.0,PRJEB2779,,,
1052,SAMEA2275671,2009,1.0,1.0,PRJEB2779,366.0,11948.0,PRJEB2779_N_J
304,SAMEA2070166,2010,1.0,1.0,PRJEB2779,731.0,11953.0,PRJEB2779_N_J
626,SAMEA2071190,2010,1.0,1.0,PRJEB2779,731.0,11949.0,PRJEB2779_N_J
302,SAMEA2070164,2011,1.0,1.0,PRJEB2779,1096.0,10460.0,PRJEB2779_N_J
428,SAMEA2070599,2011,1.0,1.0,PRJEB2779,1096.0,10460.0,PRJEB2779_N_J
430,SAMEA2070600,2011,1.0,1.0,PRJEB2779,1096.0,3604.0,PRJEB2779_N_J
622,SAMEA2071188,2011,1.0,1.0,PRJEB2779,1096.0,3603.0,PRJEB2779_N_J
624,SAMEA2071189,2011,1.0,1.0,PRJEB2779,1096.0,11953.0,PRJEB2779_N_J
1084,SAMEA2275712,2011,1.0,1.0,PRJEB2779,1096.0,10465.0,PRJEB2779_N_J
1085,SAMEA2275713,2011,1.0,1.0,PRJEB2779,1096.0,11952.0,PRJEB2779_N_J
